DATAFLOW,LAST UPDATE,freq,quantile,indic_il,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,1999,13331,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2000,14180,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2001,14606,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2005,14818,b,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2006,14203,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2007,15768,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2008,16224,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2009,16543,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2010,16745,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2011,16864,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2012,17320,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2013,17299,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2014,17551,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2015,18213,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2016,18758,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2017,19318,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2018,19928,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2019,20881,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2020,23007,b,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2021,21930,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2022,22000,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2023,23311,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2024,24538,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,Germany,2025,25528,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2008,12901,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2009,13075,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2010,13093,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2011,13168,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,13605,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,13587,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,13872,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,14205,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,14508,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,14862,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,15522,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fourth decile,Top cut-off point,Euro,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,15762,e,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fifth decile,Top cut-off point,Euro,Germany,1995,13439,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fifth decile,Top cut-off point,Euro,Germany,1996,14523,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fifth decile,Top cut-off point,Euro,Germany,1997,14769,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fifth decile,Top cut-off point,Euro,Germany,1998,14393,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fifth decile,Top cut-off point,Euro,Germany,1999,14603,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fifth decile,Top cut-off point,Euro,Germany,2000,15339,,
ESTAT:ILC_DI01(1.0),27/02/26 23:00:00,Annual,Fifth decile,Top cut-off point,Euro,Germany,2001,15758,,
