DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2007-S2,17.4800,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1991-S1,9.1700,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1991-S2,9.3000,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1992-S1,9.3800,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1992-S2,9.1100,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1993-S1,8.6600,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1993-S2,8.8200,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1994-S1,9.0000,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1994-S2,8.9500,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1995-S1,8.9700,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1995-S2,8.7800,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1996-S1,8.8400,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1996-S2,9.0600,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1997-S1,9.7000,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1997-S2,9.9400,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1998-S1,9.8700,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1998-S2,9.5600,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1999-S1,9.3800,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),1999-S2,9.4200,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2000-S1,10.0100,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2000-S2,10.6500,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2001-S1,11.6500,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2001-S2,11.7100,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2002-S1,11.4300,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2002-S2,11.1900,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2003-S1,11.4900,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2003-S2,11.3400,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2004-S1,10.9300,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2004-S2,10.9600,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2005-S1,11.8100,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2005-S2,12.1700,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2006-S1,13.5100,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2006-S2,14.6600,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2007-S1,15.6600,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 15 countries (1995-2004),2007-S2,14.6500,p,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 25 countries (2004-2006),2004-S1,10.4700,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 25 countries (2004-2006),2004-S2,10.5100,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 25 countries (2004-2006),2005-S1,11.3400,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 25 countries (2004-2006),2005-S2,11.6800,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 25 countries (2004-2006),2006-S1,13.0200,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 25 countries (2004-2006),2006-S2,14.0400,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 25 countries (2004-2006),2007-S1,15.0700,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 27 countries (2007-2013),2005-S1,11.2100,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 27 countries (2007-2013),2005-S2,11.5900,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 27 countries (2007-2013),2006-S1,12.9200,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 27 countries (2007-2013),2006-S2,13.9400,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 27 countries (2007-2013),2007-S1,14.9500,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,European Union - 27 countries (2007-2013),2007-S2,14.2700,p,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1985-S1,8.1826,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1986-S1,8.4172,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1987-S1,6.2194,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1988-S1,5.6453,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1989-S1,5.2732,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1990-S1,5.9637,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1991-S1,6.0230,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1991-S2,6.2453,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1992-S1,6.1677,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1992-S2,5.8998,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1993-S1,6.9147,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1993-S2,7.1401,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1994-S1,7.1743,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1994-S2,7.2100,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1995-S1,7.1900,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1995-S2,7.1366,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1996-S1,6.8452,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1996-S2,6.6882,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1997-S1,7.1092,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),Excluding taxes and levies,Euro,Germany,1997-S2,7.0901,,
